Day,Scenario,Susceptible,Exposed,Infectious,Recovered,Quarantined,Active_Infections,Reff
0.0,Worst-Case,800.0,50.0,150.0,0.0,0.0,150.0,1.6960000000000002
0.1,Worst-Case,796.3967539287517,53.35712682129946,148.11676482862433,2.1293544213245643,0.0,148.11676482862433,1.6883611183289535
0.2,Worst-Case,792.8544407684506,56.63751875810986,146.27592966115546,4.2321108122841355,0.0,146.27592966115546,1.6808514144291153
0.30000000000000004,Worst-Case,789.3713924862691,59.84320379249716,144.4765365040103,6.308867217223479,0.0,144.4765365040103,1.6734673520708905
0.4,Worst-Case,785.9459950197916,62.97614618933926,142.71765117292327,8.360207617945909,0.0,142.71765117292327,1.666205509441958
0.5,Worst-Case,782.5766810551657,66.03825494296608,140.9983602501265,10.386703751741711,0.0,140.9983602501265,1.6590625638369514
0.6000000000000001,Worst-Case,779.2619300271024,69.0313837771595,139.31777108434994,12.38891511138814,0.0,139.31777108434994,1.6520352916574572
0.7000000000000001,Worst-Case,776.0002681188757,71.95733114515343,137.67501179082143,14.3673889451494,0.0,137.67501179082143,1.6451205684120167
0.8,Worst-Case,772.7902682623231,74.8178402296337,136.06923125126644,16.322660256776675,0.0,136.06923125126644,1.6383153687161252
0.9,Worst-Case,769.6305499248599,77.61459919246435,134.4995990018363,18.25525188083946,0.0,134.4995990018363,1.631616765840703
1.0,Worst-Case,766.5192216531931,80.3498949779139,132.96501026444562,20.16587310444733,0.0,132.96501026444562,1.6250207499047695
1.1,Worst-Case,763.454639051006,83.0257249859967,131.46448151277306,22.05515445022428,0.0,131.46448151277306,1.6185238347881328
1.2000000000000002,Worst-Case,760.4357723371115,85.64336536750312,129.99735103888725,23.92351125649807,0.0,129.99735103888725,1.6121238373546767
1.3,Worst-Case,757.4616057973993,88.20407497002137,128.56296479169072,25.77135444088856,0.0,128.56296479169072,1.6058186042904865
1.4000000000000001,Worst-Case,754.5311377848349,90.70909533793741,127.16067637692001,27.59909050030774,0.0,127.16067637692001,1.59960601210385
1.5,Worst-Case,751.6433807194599,93.15965071243498,125.7898470571455,29.407121510959676,0.0,125.7898470571455,1.5934839671252552
1.6,Worst-Case,748.7973610883922,95.55694803149566,124.44984575177153,31.195845128340576,0.0,124.44984575177153,1.5874504055073917
1.7000000000000002,Worst-Case,745.9921194458261,97.90217692989879,123.14004903703635,32.96565458723874,0.0,123.14004903703635,1.5815032932251514
1.8,Worst-Case,743.2267104130318,100.19650973922148,121.85984114601213,34.71693870173456,0.0,121.85984114601213,1.5756406260756275
1.9000000000000001,Worst-Case,740.5002026783558,102.44110148783867,120.60861396860497,36.45008186520059,0.0,120.60861396860497,1.5698604296781145
2.0,Worst-Case,737.8116789972206,104.63708990092304,119.3857670515549,38.16546405030142,0.0,119.3857670515549,1.5641607594741078
2.1,Worst-Case,735.1602361921252,106.78559540044512,118.19070759843582,39.86346080899382,0.0,118.19070759843582,1.5585397007273056
2.2,Worst-Case,732.5449851526446,108.88772110517317,117.02285046965562,41.54444327252662,0.0,117.02285046965562,1.5529953685236064
2.3000000000000003,Worst-Case,729.9650508354298,110.94455283067327,115.8816181824561,43.20877815144077,0.0,115.8816181824561,1.5475259077711114
2.4000000000000004,Worst-Case,727.4195722642085,112.95715908930931,114.76644091091293,44.85682773556934,0.0,114.76644091091293,1.5421294932001222
2.5,Worst-Case,724.9077025297838,114.92659109024292,113.67675648593575,46.48894989403749,0.0,113.67675648593575,1.536804329363142
2.6,Worst-Case,722.4286087900358,116.85388273943357,112.61201039526811,48.1054980752625,0.0,112.61201039526811,1.5315486506348759
2.7,Worst-Case,719.9814722699202,118.74005063963848,111.57165578348747,49.706821306953785,0.0,111.57165578348747,1.526360721212231
2.8000000000000003,Worst-Case,717.5654882614692,120.58609409041267,110.55515345200523,51.29326419611283,0.0,110.55515345200523,1.521238835114315
2.9000000000000004,Worst-Case,715.1798661237912,122.39299508810896,109.5619718590667,52.86516692903321,0.0,109.5619718590667,1.5161813161824373
3.0,Worst-Case,712.8238292830703,124.16171832587793,108.59158711975113,54.42286527130065,0.0,108.59158711975113,1.5111865180801092
3.1,Worst-Case,710.4966152325674,125.89321119366801,107.64348300597163,55.96669056779301,0.0,107.64348300597163,1.5062528242930429
3.2,Worst-Case,708.1974755326191,127.58840377822538,106.71715094647531,57.49696974268021,0.0,106.71715094647531,1.5013786481291527
3.3000000000000003,Worst-Case,705.9256758106386,129.248208863094,105.8120900268432,59.01402529942426,0.0,105.8120900268432,1.4965624327185538
3.4000000000000004,Worst-Case,703.6804957611149,130.87352192861562,104.92780698949016,60.51817532077932,0.0,104.92780698949016,1.4918026510135636
3.5,Worst-Case,701.4612291456135,132.4652211519298,104.06381623366505,62.00973346879168,0.0,104.06381623366505,1.4870978057887008
3.6,Worst-Case,699.2671837927758,134.02416740697387,103.21963981545068,63.48900898479967,0.0,103.21963981545068,1.4824464296406847
3.7,Worst-Case,697.0976815983196,135.55120426448298,102.39480744776368,64.95630668943377,0.0,102.39480744776368,1.4778470849884375
3.8000000000000003,Worst-Case,694.9520585250386,137.04715799199005,101.58885650035468,66.41192698261658,0.0,101.58885650035468,1.473298364073082
3.9000000000000004,Worst-Case,692.8296646028033,138.51283755382576,100.80133199980821,67.85616584356278,0.0,100.80133199980821,1.468798888957943
4.0,Worst-Case,690.7298639285594,139.94903461111863,100.03178662954274,69.28931483077916,0.0,100.03178662954274,1.464347311528546
4.1000000000000005,Worst-Case,688.6520346663298,141.35652352179497,99.2797807298106,70.71166108206467,0.0,99.2797807298106,1.459942313492619
4.2,Worst-Case,686.5955690472128,142.7360613405788,98.54488229769811,72.12348731451029,0.0,98.54488229769811,1.4555826063800914
4.3,Worst-Case,684.5598733693834,144.08838781899203,97.82666698712549,73.52507182449915,0.0,97.82666698712549,1.4512669315430928
4.4,Worst-Case,682.5443679980923,145.41422540535433,97.12471810884686,74.9166884877065,0.0,97.12471810884686,1.4469940601559557
